Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TX_CURR_TPT_Com,553,TPT Completed
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TX_CURR_TB_tto,9,Recent Active TB TX
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,1,Recent Pos TB Screen
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,310,Actively on TPT
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TX_CURTot,1348,TX_CURR
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TPT_candidates,475,TPT Candidates
ARIEL,Cabo Delgado,Montepuez,Namanhumbire PS,VLuN2iZ9oZp,1021011,ER_P2,2021-04-20,TPT_ineligible,10,TPT Ineligible
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TX_CURR_TPT_Com,216,TPT Completed
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TX_CURR_TB_tto,25,Recent Active TB TX
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,2,Recent Pos TB Screen
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,181,Actively on TPT
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TX_CURTot,865,TX_CURR
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TPT_candidates,441,TPT Candidates
ARIEL,Cabo Delgado,Montepuez,Niuhula CS,YdWxRCaQR2D,1021016,ER_P3,2021-04-20,TPT_ineligible,27,TPT Ineligible
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TX_CURR_TPT_Com,382,TPT Completed
ARIEL,Cabo Delgado,Mueda,Mbuo CS III,oNfV9ntBJ9u,1021113,ER_P2,2021-04-20,TX_CURR_TB_tto,1,Recent Active TB TX
